ACEI,angiotensin converting enzyme inhibitor,
ADL,activities of daily living,
AE,adverse effects,
AE,adverse event,
AF,atrial fibrillation,
AHF,acute heart failure,
AKI,acute kidney injury,
ALL,acute lymphoblastic leukemia,
AMI,acute myocardial infarction,
ANC,absolute neutrophil count,
ARB,angiotensin receptor blocker,
ARNI,angiotensin receptor-neprilysin inhibitor,
ASV,adaptive servo-ventilation,
AVB,atrioventricular block,
BCP-ALL,B-cell precursor acute lymphoblastic leukemia,
BID,twice daily,
BiPAP,bi-level positive airway pressure,
BNP,B-type natriuretic peptide,
BSA,body surface area,
C/T,chemotherapy,
CABG,coronary artery bypass graft,
CAD,coronary artery disease,
CCR,continuous complete remission,
CCRT,concurrent radiotherapy,
CD,cluster of differentiation,
CI,confidence interval,
CI,cumulative incidence,
CKD,chronic kidney disease,
CLBBB,complete left bundle branch block,
CMR,cardiac magnetic resonance,
CNS,central nervous system,
COPD,chronic obstructive pulmonary disease,
CPAP,continuous positive airway pressure,
CR,complete remission,
CR1,the first complete remission,
CR2,the second complete remission,
CRh,complete remission with partial hematologic recovery,
CRi,complete remission with incomplete hematologic recovery,
CRS,cytokine release syndrome,
CRT,cardiac resynchronization therapy,
CRT-D,cardiac resynchronization therapy defibrillator,
CSA,central sleep apnea,
CTCAE,common terminology criteria for adverse events,
CV,cardiovascular,
CVD,cardiovascular disease,
CVP,central venous pressure,
CXR,chest X-ray,
D/C,discontinue,
DAPT,dual antiplatelet therapies,
DDX,differential diagnosis,
DES,drug eluting stents,
DM,diabetes mellitus,
DMCP,dilated cardiomyopathy,
DX,diagnosis,
Dysfx,dysfunction,
ECG,electrocardiogram,
ECLS,extracorporeal life support,
ECMO,extracorporeal membrane oxygenation,
eGFR,estimated glomerular filtration rate,
EPS,electrophysiologic study,
ESC,European Society of Cardiology,
FEV1,forced expiratory volume in 1 second,
FVC,forced volume vital capacity,
GDEM,guideline-directed evaluation and management,
Gr,grade,
H/D,hemodialysis,
HBR,high bleeding risk,
HF,heart failure,
HFmrEF,heart failure with moderate reduced ejection fraction,
HFpEF,heart failure with preserved ejection fraction,
HFrEF,heart failure with reduced ejection fraction,
H-ISDN,hydralazine-isosorbide dinitrate,
HR,hazard ratio,
HSCT,allogeneic hematopoietic stem cell transplantation,
HTN,hypertension,
IABP,intraaortic balloon pumping,
ICD,implantable cardioverter defibrillator,
IL-2,interleukin-2,
IV,intravenous,
IVC,inferior vena cava,
JACC,Journals of the American College of Cardiology,
K,potassium,
KCCQ,Kansas City. Cardiomyopathy Questionnaire,
LA,left atrium,
LABA,long-acting beta-agonists,
LAMA,long-acting muscarinic antagonist,
LAVI,left atrial volume index,
LBBB,left bundle branch block,
LFS,leukemia-free survival,
LV,left ventricle,
LVEF,left ventricular ejection fraction,
LVMI,left ventricular mass index,
MACCE,major adverse cardiac or cerebral event,
MACE,major adverse cardiovascular events,
Max,maximal,
MCS,mechanical cardiac support,
MI,myocardial infarction,
mPFS,median progression-free survival,
MR,mitral regurgitation,
MRA,mineralocorticoid receptor antagonist,
MRD,measurable residual disease,
MRI,magnetic resonance imaging,
NACE,net adverse clinical events,
NCCN,National Comprehensive Cancer Network,
NE,not estimable,
NGAL,neutrophil gelatinase-associated lipocalin,
NHIRD,National Health Insurance Research Database,
NIDCM,non-ischemic dilated cardiomyopathy,
NIPPV,non-invasive positive pressure ventilators,
NIV,non-invasive ventilation,
NR,not reached,
NSTEMI,non-ST elevated myocardial infarction,
NSVT,non-sustained ventricular tachycardia,
NT-proBNP,N-terminal pro-B-type natriuretic peptide,
NT-proBNP,NT-proB-type natriuretic peptide,
NYHA,New York Heart Association,
OAC,oral anticoagulation,
ONJ,osteonecrosis of the jaw,
OR,odds ratio,
ORR,objective response rate,
OS,overall survival,
OSA,obstructive sleep apnea,
PA,pulmonary artery,
PAC,post-acute care,
PaO2,arterial partial pressure of oxygen,
PCI,percutaneous coronary intervention,
PCR,polymerase chain reaction,
PFS,progression-free survival,
Ph,Philadelphia chromosome,
Ph(-),Philadelphia chromosome-negative,
PI,protease inhibitor,
PSG,polysomnography,
Pt,patient,
PTCA,percutaneous transluminal coronary angioplasty,
PVR,pulmonary vascular resistance,
QD,once daily,
QOD,every other day,
QoL,quality of life,
R/T,radiotherapy,
RA,right atrium,
RAA(S),renin-angiotensin-aldosterone(system),
RD,risk difference,
RFS,relapse-free survival,
RNA,radionuclide angiography,
RQ-PCR,real-time quantitative polymerase chain reaction,
RR,respiratory rate,
RV,right ventricle,
S/S,signs and symptoms,
SA,stable angina,
SAPT,single antiplatelet therapy,
SBP,systolic blood pressure,
SCD,sudden cardiac death,
SDB,sleep disordered breathing,
SGLT2,sodium glucose co-transporters 2,
SpO2,peripheral capillary oxygen saturation,
STEMI,ST elevated myocardial infarctions,
SVT,supraventricular tachycardia,
T2D,type 2 diabetes,
T2DM,type 2 diabetes mellitus,
TAPSE,Tricuspid annular plane systolic excursion,
TBI,total body irradiation,
TID,thrice daily,
TKI,tyrosine kinase inhibitor,
TPG,transpulmonary pressure gradient,
TRV,tricuspid regurgitation velocity,
TSOC,Taiwan Society of Cardiology,
TTE,transthoracic echocardiography,
Tx,transplantation,
TZD,thiazolidinedione,
UA,unstable angina,
UACR,urinary albumin to creatinine ratio,
UCG,ultrasound cardiogram,
VAD,ventricular assist device,
VEGF,vascular endothelial growth factor,
VHD,valvular heart disease,
VO2,rate of oxygen consumption,
VT/Vf,ventricular tachycardia/fibrillation,

ECOG,Eastern Cooperative Oncology Group performance status,2023/2/17
EPd,elotuzumab plus pomalidomide/dexamethasone,2023/2/17
PFS,progression free survival,2023/2/17
RRMM,relapsed/refractory multiple myeloma,2023/2/17
AEs,adverse events,2023/2/17
mOS,median overall survival,2023/2/17
